[2026-01-08 18:27:48] Client: [::1]:39136 | Host: client.wns.windows.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:51] Client: [::1]:39148 | Host: ssl.gstatic.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:54] Client: [::1]:39158 | Host: play.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:04] Client: [::1]:43642 | Host: prod-dynamite-prod-02-us-signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:05] Client: [::1]:43648 | Host: 9-prod-dynamite-prod-02-us-signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:05] Client: [::1]:43652 | Host: 9-prod-dynamite-prod-02-us-signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:07] Client: [::1]:54678 | Host: self.events.data.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:09] Client: [::1]:54690 | Host: www.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:09] Client: [::1]:54692 | Host: www.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:10] Client: [::1]:54708 | Host: lh3.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:10] Client: [::1]:54722 | Host: ogads-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:10] Client: [::1]:54726 | Host: lh3.googleusercontent.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:10] Client: [::1]:54740 | Host: addons-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:11] Client: [::1]:54754 | Host: play.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:14] Client: [::1]:54762 | Host: ogs.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:14] Client: [::1]:54764 | Host: lh3.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:14] Client: [::1]:54772 | Host: lh3.googleusercontent.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:14] Client: [::1]:54784 | Host: www.googleadservices.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:15] Client: [::1]:54792 | Host: ogads-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:16] Client: [::1]:35142 | Host: play.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:23] Client: [::1]:35156 | Host: android.clients.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:35] Client: [::1]:59910 | Host: optimizationguide-pa.googleapis.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:35] Client: [::1]:59936 | Host: www.googleapis.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:35] Client: [::1]:59950 | Host: fonts.googleapis.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:35] Client: [::1]:59924 | Host: httpbin.org | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:35] Client: [::1]:59970 | Host: safebrowsing.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:35] Client: [::1]:59964 | Host: safebrowsing.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:36] Client: [::1]:59984 | Host: fonts.gstatic.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:51] Client: [::1]:47202 | Host: encrypted-tbn0.gstatic.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:51] Client: [::1]:47208 | Host: clients4.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:52] Client: [::1]:47224 | Host: lh3.googleusercontent.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:53] Client: [::1]:47226 | Host: www.gstatic.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:28:54] Client: [::1]:47228 | Host: www.hotstar.com | Method: CONNECT | Status: OK | Details: Tunnel established
